메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
돌솥비빔밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,521.0,89581,2,"['애호박 60g', '취나물 60g', '시금치 60g', '고사리 60g', '육회 60g']","['도라지 60g', '숙주 60g', '상추 6잎', '계란후라이 2개']","['다진파 약간', '다진마늘 약간', '깨소금 약간', '후춧가루 약간', '참기름 약간', '설탕 약간', '고추장 약간']","['1. 애호박은 반달썰기를 하고 다진 파, 마늘, 소금, 깨소금으로 양념하여 기름에 볶은 다음 참기름을 넣는다.', '2. 취나물은 손질하여 등분한 뒤 다진 파, 마늘, 깨소금, 간장을 넣어 무친 다음 팬에 기름을 넉넉히 넣고 부드럽게 볶은 후 참기름을 넣는다.', '3. 시금치는 다듬어 씻은 후 끓는 물에 살짝 데친 후 등분하여 다진 파, 마늘, 간장, 소금, 깨소금, 참기름을 넣어 양념한다.', '4. 도라지는 가늘게 찢어 끓는 물에 삶아 기름에 볶으면서 다진 파, 깨소금, 소금, 참기름으로 양념한다.', '5. 고사리는 다듬어 등분하여 다진 파, 마늘, 간장, 깨소금, 후춧가루, 참기름으로 양념하고 기름에 볶다가 물을 약간 넣어 부드럽게 익힌다.', '6. 상추는 채썰어 찬물에 담가두어 싱싱하게 한다.', '7. 쇠고기는 우둔살로 준비해 곱게 채썰어 간장, 설탕, 참기름에 무쳐 육회를 만든다.', '8. 김은 구워 곱게 채 썰어 준비한다.', '9. 돌솥에 밥을 담고 준비한 위 재료를 보기 좋게 얹은 뒤 고추장을 곁들여 육수를 약간 붓고 뜨겁게 달군 후 비빈다.']",30
두부밥부침,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,220.0,46873,2,"['두부 1모', '찬밥 1/2공기']","['양파 1/2개', '당근 1/3개', '대파 1/2뿌리']","['마늘 2개', '소금 약간', '후춧가루 약간', '계란 1개', '밀가루 3큰술', '맛술 약간']","['1. 두부는 으깨서 물기를 제거한다.', '2. 양파, 당근, 대파, 마늘은 잘게 다져 준비한다.', '3. 볼에 ①, ②, 찬밥을 넣은 후 계란과 밀가루를 넣고 농도가 잘 맞도록 반죽을 한다. (소금, 후춧가루, 맛술을 약간씩 넣어 밑간을 한다.)', '4. 기름 두른 팬에 반죽한 것을 한 수저씩 떠서 노릇노릇하게 지져낸다.']",20
무죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,295.0,29711,2,"['무 1/4개', '쌀 1/2컵']","['소금 약간', '참기름 약간', '깨소금 약간']",,"['1. 쌀은 깨끗이 씻어서 마지막 씻은 물은 남겨두고 쌀만 건져 물기를 뺀다.', '2. 무는 1/3은 0.5cm로 깍둑썰고 나머지는 강판에 곱게 간다.', '3. 냄비에 참기름을 넣고 쌀, 깍둑썬 무를 넣고 타지 않게 볶아준다.', '4. ③이 볶아지면 ②의 간 무와 ①의 쌀뜨물을 넉넉하게 붓고 약불에서 오래 끓인다.', '5. ④가 끓어서 쌀이 퍼지면 소금으로 간을 하고 통깨를 뿌려낸다.']",60
무청밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,298.0,15240,2,"['불린쌀 1과1/2컵', '무청 삶은 것(시래기) 80g', '물 1과1/2컵']","['간장 1작은술', '참기름 1작은술']",,"['1. 불린 쌀은 체에 밭쳐 물기를 뺀다.', '2. 삶은 무청은 2cm 길이로 잘라 간장, 참기름으로 밑간한다.', '3. 냄비에 모든 재료를 담은 후 물 1과1/2컵을 넣어 밥을 짓는다.']",60
미니김밥,"['밥', '죽', '스프']",한식,간식,매우 쉬움,357.0,225795,2,"['쌀 1컵', '김 3장', '계란 3개']",['대파 1/2대'],"['참기름 약간', '깨소금 약간', '소금 약간']","['1. 쌀은 씻어서 체에 건져 밥을 고슬하게 짓는다.', '2. 밥이 뜨거울 때 참기름, 소금, 깨소금으로 간을 한다.', '3. 김은 참기름을 살짝 바르고 구워서 반으로 자른다.', '4. 계란은 잘 풀어 소금 간을 한 다음 파를 곱게 다져 섞어준다.', '5. 김에 2/3까지 밥을 놓고 돌돌 만다.', '6. 달구워진 프라이팬에 기름을 둘러 계란물을 붓고 그 위에 김밥을 얹은 다음 계란이 거의 익었을 때 말아서 겉을 노릇하게 지져낸다.']",30
버섯덮밥,"['밥', '죽', '스프']",한식,메인요리,쉬움,480.0,83663,4,"['밥 4공기', '쇠고기(우둔) 80g', '느타리버섯 100g', '표고버섯 3장', '양송이버섯 3개', '목이버섯 6장', '팽이버섯 1/2봉지']","['양파 1/2개', '당근 1/3개', '미나리 3줄기']","['간장 2큰술', '들깨 1큰술', '육수 약간', '녹말 2큰술', '참기름 1작은술', '후춧가루 약간', '간장 2작은술', '설탕 1작은술', '청주 1~2큰술', '다진마늘 약간']","['1. 쇠고기는 채썰어 분량의 양념에 재워둔다.', '2. 느타리와 표고버섯은 끓는 물에 데쳐 가늘게 찢고 양송이버섯은 껍질을 벗겨 얇게 썰고, 목이버섯은 물에 불려 씻은 후 먹기 좋게 뜯어 놓고 팽이버섯은 밑둥을 잘라낸다.', '3. 양파는 가늘게 채썰고 풋고추, 당근은 길이 4cm, 두께 0.3cm로 채썰고, 미나리는 다듬어 4cm 길이로 준비하고 쇠고기는 야채와 같은 크기로 채썰어 준비한다.', '4. 프라이팬에 식용유를 두르고 양파를 볶다가 투명해지면 고기를 넣어 볶아준다.', '5. 당근과 준비된 버섯을 넣고 간장, 설탕, 청주를 넣어 살짝 볶는다.', '6. ⑤에 육수와 녹말가루를 섞어 자작하게 붓고 미나리와 들깨가루를 넣은 후 참기름, 후춧가루로 마무리한다.', '7. 따뜻한 밥 위에 ⑥을 담아 낸다.']",60
버섯죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,276.0,97463,2,"['쌀 100g', '버섯 40g']",['김 약간'],"['참기름 2큰술', '소금 약간', '조미료 약간']","['1. 쌀을 씻어 불려 놓는다.', '2. 갖가지 버섯을 잘게 썰어 놓는다.', '3. 냄비에 쌀을 넣고 쌀에 참기름이 충분히 배일정도로 볶는다.', '4. 볶은 쌀에 10배 정도의 찬물을 붓는다.', '5. 물이 반정도 줄어들면 썰어 놓은 버섯을 넣는다.', '6. 걸쭉해지면 소금과 조미료로 간을 한다.', '7. 그릇에 담아 내고 위에 김을 썰어 올려준다.']",30
새우죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,278.0,47933,2,"['쌀 1컵', '새우 200g']",['물 6컵'],"['소금 약간', '참기름 약간']","['1. 새우는 꼬치로 등쪽의 내장을 빼고, 옅은 소금물에 씻은 뒤 물기를 제거하고 굵게 다진다.', '2. 쌀은 씻어 물에 충분히 불린 뒤 건져 물기를 뺀다.', '3. 냄비에 참기름을 두르고 다진 새우와 쌀을 넣고 볶다가 쌀알이 투명해지면 물을 붓고 끓인다.', '4. 한소끔 끓어 오르면 불을 약하게 한 뒤 쌀알이 푹 퍼지도록 끓인다.', '5. 쌀알이 퍼지면 소금으로 간을 하고 그릇에 담는다.']",30
색색주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,365.0,121020,2,"['밥 2공기', '쇠고기(다진것) 100g', '김치 100g', '후리가께 약간']","['김 약간', '무순 약간']","['참기름 1작은술', '소금 1작은술', '간장 1큰술', '설탕 2큰술', '다진파 2작은술', '다진마늘 1작은술', '참기름 2작은술', '치즈 약간', '후춧가루 1/2작은술', '깨소금 1/2작은술']","['1. 다진 쇠고기는 갖은 양념을 한 뒤 프라이팬에서 식용유를 두르고 볶는다.', '2. 김치도 잘게 다져 갖은 양념을 해 놓는다.', '3. 밥은 뜨거울 때 참기름, 소금으로 밑간을 해 놓는다.', '4. 밥을 한 입 크기로 잡고 안에 쇠고기를 넣은 것, 김치를 넣은 것, 겉에 후리가케를 묻힌 것 등으로 여러가지 주먹밥을 만든다.', '5. 여기에 무순, 치즈, 김 등으로 장식을 하고 우메보시를 곁들여 먹는다.']",30
송어상추까나페,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,113.0,13598,4,['송어(슬라이스) 1마리'],"['상추 약간', '콩가루 약간', '밥 약간']","['참기름 약간', '깨소금 약간', '초고추장 약간']","['1. 밥에 참기름, 깨소금을 넣어 비벼 한 입 크기로 동그랗게 만든다.', '2. ①을 상추에 싸고 그 위에 송어회를 얹는다.', '3. 초고추장, 콩가루를 뿌린다.']",30
쇠고기김치말이,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,352.0,43108,2,"['쇠고기 400g', '밥 1공기', '김치 200g']","['양파 30g', '당근 30g', '피망 20g', '검은깨 약간']","['소금 약간', '후춧가루 약간']","['1. 쇠고기는 곱게 다져서 밑간을 약하게 한 후 끈기있게 치댄다.', '2. 김치는 속을 털어 내 물기를 살짝 짜내고 양파, 당근, 피망은 다진다.', '3. 팬에 식용유를 두르고 양파, 당근을 볶다가 밥을 넣어 계속 볶은 뒤 피망과 검은깨를 넣고 소금, 후춧가루로 간을 맞춘다.', '4. 알루미늄 호일에 쇠고기를 깔고 그 위에 김치를 깐다.', '5. 볶은 밥을 ④에 올려 놓고 말아 준 뒤 알루미늄 호일에 싼다.', '6. 오븐 팬에 ⑤를 놓고 230℃ 정도에서 20분간 익힌다.']",30
쇠고기김치말이밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,432.0,16356,2,"['쇠고기(안심) 300g', '찬밥 1/2공기', '김치 50g']","['양파 1/4개', '피망 1/4개', '당근 1/4개']","['소금 1/2작은술', '후춧가루 1/4작은술']","['1. 쇠고기는 키친타올로 핏물을 제거한 후 18cm x 15cm, 두께 0.5cm로 저며 소금, 후춧가루로 밑간한다.', '2. 김치는 물기를 제거해 다지고 양파, 피망, 당근도 곱게 다진다.', '3. 프라이팬에 기름을 두르고 찬밥을 볶다가 김치, 양파, 피망, 당근을 넣어 가볍게 볶은 후 소금, 후춧가루로 간한다.', '4. 김발 위에 쇠고기를 편 후 준비한 ③을 올리고 돌돌 말아준다.', '5. 190℃로 예열한 오븐에 25~30분간 구워낸 후 한 김 식혀 잘라 접시에 담는다.']",30
쇠고기덮밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,396.0,113951,2,"['쇠고기 100g', '밥 1공기']","['양파 1/2개', '대파 1뿌리', '표고버섯 1개']","['다진마늘 약간', '간장 2큰술', '맛술 1큰술', '설탕 2/3큰술', '소금 약간', '참기름 약간', '후춧가루 약간', '깨소금 약간']","['1. 쇠고기는 불고기용으로 손질하여 간장, 맛술, 설탕, 참기름, 깨소금, 다진 파, 다진 마늘로 양념하여 준비한다.', '2. 양파, 대파, 표고버섯은 채썰어 준비한다.', '3. 기름두른 팬에 양념한 쇠고기를 볶다가 양파, 대파, 표고버섯을 같이 볶아준다.', '4. 프라이팬에 밥을 넣고 소금, 깨소금, 참기름을 약간 넣고 볶아준다.', '5. 접시에 밥과 볶은 불고기를 함께 낸다.']",30
쇠고기말이밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,412.0,90998,2,"['쇠고기(샤브샤브용) 200g', '밥 1공기']","['시금치 20g', '오이피클 20g', '녹말가루 약간']","['소금 약간', '참기름 약간', '깨소금 약간', '설탕 약간', '마늘 2쪽', '후추 약간']","['1. 쇠고기는 샤부샤부용으로 얇게 준비하여 마늘, 소금, 후추, 깨소금, 설탕, 참기름으로 간하여 준비한다.', '2. 고슬하게 지은 밥에 소금, 참기름, 깨소금 등으로 밑간한다.', '3. 시금치는 깨끗하게 씻어 살짝 한 번 데친 후 찬물에 식힌 후 ①번과 같이 간한다.', '4. 오이피클도 손가락 크기정도로 썰어놓는다.', '5. 김발에 ①번 쇠고기를 찢어지지 않도록 깔고 녹말가루를 살짝 뿌려준 후 그 위에 밥을 2/3정도 깐 다음 시금치, 오이피클을 넣고 김밥처럼 말아준다.', '6. ⑤번 쇠고기말이밥을 오븐에 굽거나 프라이팬에 기름을 두르고 돌려가며 노릇하게 지져낸다.', '7. ⑥번이 한김 나간 후 먹기좋은 크기로 썰어놓는다.']",30
수삼영양밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,458.0,10760,2,"['수삼 1뿌리', '찹쌀 1/2컵', '멥쌀 1/2컵', '흑미 30g', '차조 20g']","['밥 3~4알', '대추 4알', '완두콩 약간']",['꿀 2큰술'],"['1. 찹쌀, 멥쌀, 흑미, 차조는 씻어 물에 불려둔다.', '2. 밤은 껍질을 까 준비하고, 대추는 돌려깎기 하여 길이대로 썰어 준비한다.', '3. 완두콩은 물에 불려 삶아내고 수삼은 흙을 털어낸다.', '4. 준비된 재료는 냄비에 앉혀 물을 자작하게 부은 다음 10분간 끓이고 10분간 뜸을 들이는데, 이때 꿀을 넣어 섞어준다.']",30
시금치된장죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,185.0,54708,2,"['쌀 1컵', '시금치 30g']",['쇠고기(우둔) 15g'],"['일본된장 1큰술', '다시마 1장', '참기름 약간', '가쓰오브시 약간']","['1. 불린쌀은 1/2정도 으깬다.', '2. 시금치는 한 번 데친 후 잘게 썬다.', '3. 다시마와 가쓰오브시로 국물을 우려낸다.', '4. 쇠고기는 다져놓는다.', '5. 냄비에 참기름을 두르고 쇠고기를 볶다가 불린쌀을 넣는다.', '6. ③번 국물을 ⑤에 넣은 후 일본된장을 1/2큰술을 넣은 후 한소끔 끓인다.', '7. 어느 정도 쌀이 퍼지면 시금치를 넣는다.', '*죽을 끓일 때 물의 양은 쌀의 양의 6~7배 정도로 잡는다.', '*일본된장 대신 한식된장을 할경우에는 양을 1/4큰술로 잡는다.']",30
양송이버섯죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,224.0,84947,2,"['찹쌀 1컵', '양송이버섯 5개']","['호박 50g', '실파 3뿌리', '당근 30g', '깻잎 3장', '양파 1/3개']","['참기름 1큰술', '물 6컵', '깨소금 1큰술', '소금 1작은술']","['1. 찹쌀을 2시간 정도 불린다.', '2. 양송이버섯은 껍질을 벗기고 모양을 살려서 썬다.', '3. 호박, 당근, 실파, 깻잎은 깨끗이 씻은 후 3㎝ 길이로 채썬다.', '4. 불린 찹쌀은 방망이로 쌀알이 1/2정도가 되도록 부순다.', '5. 냄비에 참기름을 두르고 ④를 볶다가 물을 붓고 끓인다.', '6. 쌀알이 퍼지면 썰어 놓은 채소를 넣고 한번 더 끓여 소금으로 간한다.']",30
오곡밥쌈밥정식,"['밥', '죽', '스프']",한식,메인요리,쉬움,350.0,36669,2,"['오곡곡물 2컵', '상추(쌈용) 약간', '깻잎 약간', '치커리 약간']","['참기름 약간', '양파 1/2개', '청고추 2개', '홍고추 1개', '대파 1/2뿌리', '멸치 30g']","['된장 1/2컵', '고추장 1/4컵', '마늘 3쪽', '깨소금 약간']","['1. 오곡곡물(보리,팥,조 등)은 박박 문질러 씻은 후 물에 담가 오랫동안 불렸다가 푹 퍼지도록 뜸을 들여 밥을 짓는다.', '2. 상추, 깻잎, 치커리 등 여러 가지 쌈을 골고루 준비해 흐르는 물에 깨끗이 씻은 후 냉장고에 넣어 싱싱하게 준비해놓는다.', '3. 냄비에 기름을 넣고 다진 멸치와 청고추, 홍고추, 양파, 대파, 마늘을 넣어 볶다가 된장, 고추장을 넣어 잘 섞으면서 볶는다.', '4. 쌈장이 바글바글 끓으면 물을 자작하게 붓고 끓이다가 깨소금과 참기름을 넣어 골고루 섞는다.', '5. 준비해 둔 쌈과 쌈장, 오곡밥을 곁들인다.']",60
오곡주먹밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,349.0,42432,2,"['찹쌀 40g', '쌀 40g']","['팥 20g', '수수 30g', '쇠고기(우둔) 20g', '김 1장', '미나리 2줄기', '조 30g', '콩 30g']","['간장 약간', '참기름 약간', '후춧가루 약간', '깨소금 약간']","['1. 찹쌀, 조, 수수, 콩, 쌀은 30분 정도 물에 불려놓는다.', '2. 불려놓은 팥은 끓는 물에 삶아 1/2정도 익힌다.', '3. ①과 ②을 섞어 팥 삶은 물을 부어 밥을 짓는다.', '4. 다진 쇠고기에 분량의 양념을 하여 프라이팬에 볶아낸다.', '5. 오곡밥이 다 되면 한김 나가게 식혀준다.', '6. 오곡밥 70g 정도를 쥐고 안에 ④의 볶아놓은 쇠고기를 조금 넣어 모양을 동그랗게 잡아준다.', '7. 미나리는 식초 한 방울 넣은 끓는 물에 살짝 데쳐 찬물에 식혀준다.', '8. 김은 세로 10cm, 가로 1cm 정도로 잘라놓는다.', '9. ⑥번의 모양을 잡은 오곡주먹밥을 미나리와 김으로 묶어준다.', '***밥을 지을때 약간의 소금을 넣어주면 밥맛이 더 좋아진다.']",30
옥수수죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,264.0,101882,2,"['스위트콘 1캔', '쌀 1컵']","['물 4컵', '실파 1뿌리']","['소금 약간', '참기름 약간']","['1. 쌀을 씻어 물에 불려 놓은 뒤 체에 밭쳐 물기를 빼 놓는다.', '2. 스위트콘은 체에 밭쳐 물기를 빼 놓은 후 믹서기에 곱게 갈아 놓는다.', '3. 달군 냄비에 참기름을 넣고 ①의 쌀을 넣은 후 쌀이 투명해 질 때까지 볶다가 물을 붓는다.', '4. ③에 갈아 놓은 스위트콘을 넣고 끓기 시작하면 불을 약하게 줄인후 쌀이 퍼질 때까지 끓인다.', '5. 소금, 참기름, 실파 썰은 것을 넣고 낸다.']",30
우렁된장쌈밥,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,350.0,69358,2,['우렁 100g'],"['호박 100g', '양파 1/2개', '고추 2개', '대파 약간', '밥 2공기']","['된장 2큰술', '고춧가루 2큰술', '국멸치 갈은것']","['1. 우렁은 흐르는 물에 잘 씻어 건져둔다.', '2. 호박, 고추, 양파, 대파는 모두 우렁살 크기 만하게 썰어둔다.', '3. 작은 뚝배기에 썰어 놓은 채소와 된장을 넣고 국물용 멸치 간 것을 넣어 자작하게 끓여준다.', '4. 여기에 고춧가루를 넣어 농도를 조절하고 매콤한 맛을 더해준다.', '5. 쌈용 채소는 잘 씻어 체에 얹고 물기를 거두어 차게 보관한다']",20
우엉시금치죽,"['밥', '죽', '스프']",한식,메인요리,매우 쉬움,198.0,10967,4,"['우엉 15cm', '당근 10cm', '시금치 50g', '쌀(불린 것) 1과1/2컵']",['물 5컵'],"['소금 약간', '참기름 약간']","['1. 우엉은 껍질을 벗기고, 당근은 깨끗이 손질한 후 쌀알 크기로 다진다.', '2. 시금치는 0.5cm 길이로 송송 썬다.', '3. 팬에 참기름을 두르고 불린 쌀과 ①을 넣고 달달 볶는다.', '4. 쌀알이 투명해지기 시작하면 분량의 물을 넣고 뭉근하게 끓인다.', '5. 쌀이 충분히 익으면 ②를 넣고 다시 한번 끓인 후 소금 간을 해 그릇에 담아낸다.']",30
