메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
모듬쌈밥,"['밥', '죽', '스프']",한식,메인요리,어려움,360,88783,2,"['케일 약간', '치커리 약간', '청경채 약간', '겨자잎 약간', '밥 2공기']","['소금 약간', '흑임자 약간', '참기름 약간']","['참기름 1/2큰술', '건새우가루 1큰술', '된장 3큰술', '고추장 1큰술', '청고추 1/2개', '홍고추 1/2개', '설탕 1/2큰술', '다진마늘 1/2큰술']","['1. 모둠 채소는 흐르는 물에 깨끗이 씻어 소쿠리에 물기를 빼 둔다.', '2. 케일은 끓는 물에 데쳐 찬물에 헹군다.', '3. 밥에 소금과 참기름으로 간을 한다.', '4. 케일 및 쌈야채에 ③을 먹기 좋은 크기로 한 덩이씩 싼 뒤 흑임자를 뿌린다.', '5. 준비한 양념 재료를 섞어 쌈장을 만든다.', '6. 그릇에 채소와 케일 쌈밥을 담고 쌈장을 곁들여 낸다.']",66
별미밥,"['밥', '죽', '스프']",한식,메인요리,보통,325,60927,4,"['쇠고기(우둔) 150g', '콩나물 100g', '밥 4공기']","['미나리 50g', '당근 50g', '유부 5장']","['간장 2큰술', '다진파 1큰술', '고춧가루 1작은술', '다진마늘 1작은술', '깨소금 1작은술', '참기름 1큰술', '후춧가루 약간']","['1. 다진 쇠고기는 간장 1큰술, 설탕 1/2작은술, 마늘 1작은술, 후춧가루, 참기름에 양념하여 프라이팬에 기름을 두르고 볶아 놓는다.', '2. 콩나물은 꼬리를 떼고 깨끗이 다듬어 끓는 소금물에 데친다.', '3. 당근은 껍질을 벗겨 곱게 채썰고 미나리도 같은 길이로 잘라 뜨거운 프라이팬에 기름을 두르고 소금 간을 하며 볶는다.', '4. 유부는 끓는 물에 데쳐 기름을 빼고 채썰어 소금, 참기름에 무쳐 놓는다.', '5. 고슬하게 지은 밥을 그릇에 적당히 담아, 볶아 놓은 모든 재료를 색 맞추어 올리고 분량의 양념 재료를 넣어 양념장을 곁들여 낸다.']",54
북어국밥,"['밥', '죽', '스프']",한식,메인요리,어려움,120,53787,4,"['밥 3공기', '북어 2마리']","['물 12컵', '무순 40g', '무 1/4 토막', '쇠고기 100g', '대파 1뿌리', '홍고추 1개', '팽이버섯 100g', '물 11컵']","['참기름 1큰술', '고춧가루 1큰술', '다진마늘 1큰술', '간장 약간', '소금 약간', '후춧가루 약간']","['1. 북어를 찬물에 잠깐 담가 불린 다음 가시와 뼈를 발라 내어 살을 가늘고 길게 찢어 놓는다.', '2. 쇠고기는 반 정도는 길게 채썰고 나머지는 도톰하게 저며썬 뒤 냄비에 물 4컵을 붓고 쇠고기와 함께 끓여서 육수 3컵을 만들어 놓는다.', '3. 무는 굵게 채썰고 굵은 파는 어슷썰며 홍고추는 씨를 털어낸 다음 채썬다. 팽이 버섯은 뿌리 부분을 떼내어 다듬고 무순은 다듬어서 깨끗이 씻어 건진다.', '4. 냄비에 참기름을 두르고 마늘을 볶다가 북어와 쇠고기 썬 것을 넣어 한참 볶는다.', '5. 북어와 쇠고기 볶던 냄비에 육수 3컵을 붓고 끓이다 썰어 놓은 고추와 무, 팽이버섯, 굵은 파를 넣어 한소끔 끓인다.', '6. 국이 끓으면 밥을 넣고 간장과 소금으로 간 한 뒤 분량의 고춧가루와 후춧가루를 넣는다. 상에 낼 때 국밥 위에 무순을 얹어 낸다.', '6. 국이 끓으면 밥을 넣고 간장과 소금으로 간한뒤 분량의 고춧가루와 후추가루를 넣는다. 상에 낼 때 국밥 위에 무순을 얹어 낸다.']",68
삼색주먹밥,"['밥', '죽', '스프']",한식,메인요리,보통,460,82378,4,['밥 2공기'],"['생선 소보로', '파슬리가루 약간', '계란노른자 1개']","['식초 1큰술', '설탕 1큰술', '소금 1/2작은술', '다시마 1조각']","['1. 밥을 고슬하게 지어 뜨거울 때 배합초를 섞어 식힌다.', '2. 계란 노른자는 체에 내린다.', '3. 랩에 밥을 놓고 동그랗게 말아 각각 생선소보로, 다진 파슬리, 계란노른자 가루를 묻혀 색을 낸다.']",40
상추겉절이비빔밥,"['밥', '죽', '스프']",한식,메인요리,보통,395,66450,4,"['밥 4공기', '상추 3잎']","['오이 1/3개', '대파 약간', '도라지 20g', '고사리 20g', '당근 1/4개']","['간장 2큰술', '식초 약간', '고춧가루 1작은술', '설탕 2작은술', '참기름 약간', '소금 약간', '다진파 약간', '다진마늘 약간']","['1. 상추는 한 입 크기로 찢고 오이, 대파는 납작하게 어슷썰어 간장, 식초, 고춧가루, 설탕, 참기름을 넣어 살짝 무친다.', '2. 도라지는 잘게 찢어 소금에 주물러 쓴 맛을 뺀 후 파, 마늘, 깨소금, 참기름으로 양념하여 볶는다.', '3. 고사리는 연한 줄기만 다듬어 간장, 파, 마늘, 깨소금으로 양념하여 볶고 당근은 채썰어 기름에 볶는다.', '4. 쇠고기 다진 것은 분량의 재료로 양념한 후 고추장과 같이 기름에 살짝 볶아 약고추장을 만든다.', '5. 비빔밥 그릇에 밥을 담고 ①, ②, ③을 보기좋게 얹어 약고추장을 곁들여 비벼 먹는다.']",55
열무비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,375,42663,2,"['밥 한공기', '열무김치 300g', '쇠고기 150g']","['간장 1큰술', '설탕 1/2큰술', '다진파 2작은술', '다진마늘 1작은술', '참기름 1작은술']","['고추장 3큰술', '설탕 1큰술', '마늘 1큰술', '참기름 1큰술', '열무김치(국물) 3큰술']","['1. 열무김치는 물기를 짠 뒤 5cm로 썰어 참기름에 무쳐 놓는다.', '2. 다진 쇠고기는 양념장에 재워둔다.', '3. 팬에 키친타올로 기름기를 거의 없을 정도로만 바르고 쇠고기를 달달 볶아낸다.', '4. 고추장 양념재료를 모두 섞어 양념장을 만든다.', '5. 밥을 담고 밥 위에 열무김치를 올려담은 후 양념장을 곁들여낸다.']",60
영양돌솥밥,"['밥', '죽', '스프']",한식,메인요리,보통,384,34718,2,"['멥쌀 2컵', '찹쌀 1/2컵']","['밤 10톨', '은행 10알', '대추 10알', '잣 20g', '송이버섯 2개', '물 적당량']",,"['1. 멥쌀과 찹쌀은 깨끗이 씻어 30분간 불린 다음 체에 밭쳐 물기를 뺀다.', '2. 밤은 껍질을 벗겨 적당한 크기로 자르고 은행은 식용유를 두르고 볶아 껍질을 벗긴다. 대추는 씨를 빼고 3~4등분한다. 송이버섯은 먹기 좋은 크기로 썬다.', '3. 돌솥에 참기름을 바르고 ①의 쌀을 볶다가 물을 쌀 위로 1cm 정도 올라오게 붓는다.', '4. ③에 밤, 은행, 대추, 잣을 넣고 밥을 짓는다.', '5. 뜸들일 때 버섯을 밥 위에 올린다.']",58
영양채소밥,"['밥', '죽', '스프']",한식,메인요리,보통,375,53334,2,"['쌀 1컵', '밤 2개', '고구마 1/3개', '은행 6알', '대추 4알']",['다시물(밥물) 1컵'],"['참기름 약간', '간장 2컵', '다시물(양념장) 1큰술', '다진파 약간', '다진마늘 약간', '깨소금 약간']","['1. 쌀은 미리 씻어 충분히 불려 물기를 빼 놓는다.', '2. 밤과 고구마는 먹기 좋게 썰고 은행은 기름에 살짝 볶아 껍질을 벗긴다. 대추는 씨를 기점으로 돌려깎기 하여 잘게 썰어둔다.', '3. 냄비에 참기름을 살짝 두르고 위의 재료를 볶다가 쌀을 넣어 투명해질 때까지 같이 볶아준다.', '4. ③에 다시마 국물을 자작하게 넣어 밥을 짓는다.', '5. 간장에 다시마 국물을 넣고 다진 파, 다진 마늘, 깨소금, 참기름을 고루 섞어 양념장을 만들어 채소밥에 곁들인다.']",58
오곡밥,"['밥', '죽', '스프']",한식,메인요리,보통,338,53540,4,"['멥쌀 1컵', '찹쌀 2컵']","['수수 1컵', '차조 1컵', '콩 1/2컵', '팥 1/2컵']",['소금 약간'],"['1. 찹쌀과 멥쌀은 깨끗이 씻어 건져 놓는다.', '2. 차수수는 붉은 물이 안 나올 때까지 깨끗이 씻어 놓는다.', '3. 콩은 불려서 일어 건져놓고, 팥은 삶아서 건져놓고 삶은 물은 받아 놓는다.', '4. 차조는 씻어서 잘 일은 후 건져놓는다.', '5. 차조를 뺀 모든 재료를 고루 섞어 밥솥에 앉혀 놓고 팥 삶은 물에 소금(1/3작은술 정도)을 넣은 밥물을 붓는데, 밥물은 보통 짓는 밥물보다 20% 적게 붓는다.', '6. 밥이 끓기 시작하면 차조를 고루 얹어 뜸을 들인다.']",54
오징어덮밥,"['밥', '죽', '스프']",한식,메인요리,보통,445,146533,2,"['밥 2공기', '오징어 1마리']","['양파 2/3개', '피망 1/2개', '실파 10g', '식용유 약간']","['물 1/3컵', '고추장 1큰술', '두반장 1큰술', '설탕 약간', '깨소금 약간', '소금 약간', '후춧가루 약간']","['1. 오징어는 내장을 빼고 껍질을 벗긴 후 동그랗게 썰고, 양파와 피망은 채썰고 실파는 4cm 길이로 썬다.', '2. 양념 재료를 혼합하여 양념장을 만들어 둔다.', '3. 프라이팬에 기름을 두르고 양파를 볶다가 오징어를 넣어 볶는다.', '4. 오징어가 불투명하게 익어가면 양념장을 넣어 볶아낸다.', '5. 국물이 끓으면 피망을 넣어 볶다가 채썬 파를 넣고 뒤적여 불을 끈다.', '6. 접시에 밥을 소복이 담고 오징어 볶음을 얹어 담아 낸다.']",54
자라죽,"['밥', '죽', '스프']",한식,메인요리,보통,138,10119,4,"['흰쌀 200g', '자라 1마리']","['파 30g', '참기름 10g', '깨소금 약간']",,"['1. 자라는 피를 뽑고 끓는 물에 데쳐 겉껍질을 말끔히 긁고 덮개를 떼고 발톱을 잘라버린 다음 작은 토막을 썰어 데친다.', '2. 가마에 참기름을 두르고 파를 썰어 넣고 볶다가 자라고기를 두고 볶은 다음 더운물을 붓는다.', '3. 물이 끓으면 흰쌀을 안치고 죽을 쑤다가 쌀이 퍼지고 까룩해지면 깨소금을 쳐서 죽 그릇에 담아낸다.']",45
잣죽,"['밥', '죽', '스프']",한식,메인요리,보통,289,98388,2,"['불린쌀 1컵', '잣 1/2컵']","['물 4컵', '대추 1개']",['소금 약간'],"['1. 쌀은 씻어서 물에 담가 충분히 불린다.', '2. 잣은 고깔을 떼고 마른 면보에 싸서 문질러 닦고 6개만 고명용으로 따로 남겨놓는다.', '3. 믹서에 불린 쌀과 물 2컵을 부어서 곱게 갈아 놓고, 잣도 물 1/3컵을 넣고 곱게 간다.', '4. 대추는 깨끗이 씻어서 돌려 깎은 후 껍질을 방망이로 살짝 밀어 동그랗게 말아 얇게 썰어 대추꽃을 만든다.', '5. 냄비에 갈아놓은 쌀과 물 1컵을 부은 뒤 불에 올려, 바닥이 눌지 않도록 저어가며 끓인다.', '6. 쌀이 끓어서 퍼지기 시작하고 어느 정도 익으면 잣 갈아놓은 것을 넣고 이 때부터는 아주 약한 불에서 알맞은 농도가 될 때까지 끓이고, 먹기 직전에 간을 해서 먹는다.']",48
찬밥맛탕,"['밥', '죽', '스프']",한식,메인요리,보통,280,53274,4,"['찬밥 1공기', '옥수수(통조림) 200g']","['계란 1/2개', '녹말 6큰술', '식용유(튀김용) 3컵']","['소금 1/2작은술', '물 1큰술', '설탕 1/2컵']","['1. 옥수수는 물기를 뺀다.', '2. 찬밥에 옥수수, 소금, 계란을 넣고 잘 섞은 후 녹말가루를 넣는다.', '3. 지름 2㎝ 정도로 완자를 빚어 170℃의 식용유에서 노릇노릇하게 튀겨 낸다.', '4. 식용유 2큰술에 설탕 1/2컵을 넣고 물을 1큰술 정도 넣어 설탕이 녹을 때까지 끓여 시럽을 만든다.', '5. ④의 시럽에 튀겨 놓은 맛탕을 버무려 낸다.']",49
찰밥,"['밥', '죽', '스프']",한식,메인요리,보통,336,52992,2,"['찹쌀 2컵', '팥 2/3컵']","['대추 5알', '밤 5톨']",['소금 1/2작은술'],"['1. 찹쌀은 씻어 30분 이상 불린다.', '2. 팥은 한 번 삶아 물을 버리고 다시 물을 넣고 팥알이 터지지 않게 삶은 뒤 팥물은 받아 놓는다.', '3. 밤은 껍질을 까서 먹기 좋은 크기로 잘라 놓고 대추도 씨를 발라 적당한 크기로 자른다.', '4. 준비한 재료를 모두 넣고 1과 1/3컵의 팥물에 소금 1/2작은술을 넣어 밥을 짓는다.']",44
충무김밥,"['밥', '죽', '스프']",한식,간식,어려움,450,135549,2,"['김 2장', '오징어 1/2마리', '무 30g', '고춧가루 3큰술', '밥 2공기']","['설탕 2큰술', '식초 4큰술', '까나리액젓 1큰술', '참기름 약간', '깨소금 약간', '다진파 약간', '다진마늘 약간']",,"['1. 오징어는 껍질과 먹통을 제거한 후 5cm 정도의 길이로 채썰어 끓는물에 살짝 데쳐 찬물에 담가 식힌다.', '2. 오징어에 고춧가루 1큰술, 설탕 1/2큰술, 식초 1큰술, 다진 마늘. 다진 파, 참기름, 깨소금을 넣어 오물조물 무쳐둔다.', '3. 무도 크지 않게 썰어 식초물에 잠시 담가둔다.', '4. 무가 어느 정도 삭히면 물기를 꼭 짠다.', '5. 설탕 1큰술, 식초 2큰술, 고춧가루 1과 1/2큰술, 액젓 1큰술, 다진 마늘, 다진 파 등의 양념장을 만들어 ④의 무를 간한 후 냉장고에 보관해둔다.', '6. 김은 반 잘라서 밥을 얇게 편 다음 돌돌 말아서 3등분한다.']",78
콩나물버섯덮밥,"['밥', '죽', '스프']",한식,메인요리,어려움,232,94013,2,"['밥 2인분', '콩나물 100g', '쇠고기 50g', '느타리버섯 50g']","['양파 1개', '당근 20g', '실파 2뿌리', '녹말 약간']","['멸칫국물 1컵', '간장 1큰술', '다진마늘 1/2큰술', '깨소금 약간', '참기름 약간', '소금 약간', '후춧가루 약간', '피쉬소스(간장) 약간']","['1. 콩나물은 꼬리를 제거하고 깨끗이 씻은 후 소금을 넣은 끓는 물에 살짝 데친다.', '2. 쇠고기는 잘게 썰어 간장, 다진 마늘, 다진 파, 깨소금, 후춧가루, 참기름으로 약하게 양념해둔다.', '3. 양파와 당근은 납작하게 썰고 느타리버섯은 손으로 찟어놓는다.', '4. 멸치를 넣어 장국을 만든다.(멸치의 비린맛을 없애려면 기름기 없는 후라이팬에서 살짝 볶아 국물을 우려낸다.)', '5. 냄비에 ④의 멸칫국물을 붓고 고기와 당근, 양파를 넣고 끓인 다음 콩나물과 느타리버섯을 넣고 끓이면서 피쉬소스나 간장으로 간을 맞춘다.', '6. ⑤가 어느정도 끓기 시작하면 소금, 후춧가루로 간을 맞춘 후 물녹말로 농도를 맞춘다.', '7. 먹기 직전에 참기름을 살짝 넣어 고소한 향을 낸다.']",66
콩나물비빔밥,"['밥', '죽', '스프']",한식,메인요리,어려움,385,68983,1,"['밥 60g', '보리 10g', '콩나물 40g', '오이 20g', '다진쇠고기 30g']",['당근 15g'],['소금 1큰술'],"['1. 쌀, 보리등은 깨끗이 씻어 고슬고슬하게 밥을 짓는다.', '2. 당근, 오이는 5cm 길이로 채썰어서 굵은 소금 한 숟가락에 절여 물기를 꼭 짜서 기름에 볶아낸다.', '3. 콩나물은 꼬리를 떼고 물에 살짝 데쳐낸다.', '4. 다진쇠 고기는 분량의 양념장 재료를 넣고 양념하여 기름에 볶아낸다.', '5. 분량의 밥 위에 데친 콩나물, 볶은 오이, 볶은 당근, 볶은 쇠고기를 보기좋게 담는다.', '6. 간장, 참기름, 깨소금, 후춧가루, 다진 파, 마늘 등을 섞어 양념장을 만든다.']",60
해물볶음밥,"['밥', '죽', '스프']",한식,메인요리,어려움,365,83272,2,"['밥 1공기', '오징어 1/4마리', '새우 20g', '라유(중국식 고춧기름) 약간', '홍고추 1개']","['당근 15g', '양파 15g', '표고버섯 2장', '청고추 1개']","['고춧기름 1큰술', '소금 약간', '후춧가루 약간']","['1. 오징어는 깨끗하게 손질하여 링으로 썰어둔다. 새우는 잔새우를 준비한다.', '2. 양파, 당근, 표고버섯, 청고추, 홍고추등은 잘게썰고 마늘은 다져 놓는다.', '3. 팬에 기름을 두르고 먼저 채소를 볶다가 향이 나면 해물을 넣는다. 간은 소금과 후춧가루, 약간의 맛술을 넣어준다.', '4. 밥을 고슬하게 지어 ③번에 넣어 밥알이 잘 풀어져서 보슬하게 볶아지면 라유(중국식 고춧기름)와 고추를 넣어 재빠르게 볶아 불에서 내린다.']",65
해물볶음밥,"['밥', '죽', '스프']",한식,메인요리,어려움,362,32025,2,"['새우 30g', '오징어 50g', '바지락 30g', '밥 2공기']","['파프리카 1/4개', '팽이버섯 약간', '날치알 약간', '파프리카 1/4개']","['청주 2큰술', '소금 약간', '후춧가루 약간', '굴소스 3큰술', '참기름 약간']","['1. 새우와 오징어, 바지락은 깨끗이 씻고, 오징어는 새우와 비슷한 크기로 손질한다.', '2. 파프리카와 팽이버섯은 곱게 다져 준비한다.', '3. 기름 두른 프라이팬에 해물과 청주를 넣어 볶아준다.', '4. 새우에 붉은 빛이 돌면 야채 재료를 넣어 소금과 후춧가루로 간하여 볶는다.', '5. ④에 밥을 넣어 고루 섞어준 후 분량의 굴소스를 넣고 볶아준다.']",62
호박죽,"['밥', '죽', '스프']",한식,메인요리,보통,115,150474,4,"['청동호박 1/2개', '찹쌀 2컵']",['팥 1컵'],"['물 10컵', '설탕 약간', '소금 약간']","['1. 청동호박은 반을 갈라 씨를 빼고 껍질을 벗긴다.', '2. 찹쌀은 깨끗이 씻어 불렸다가 가루로 빻는다.', '3. 팥은 물에 넣고 한소끔 끓으면 첫물은 버리고 다시 물을 부어 푹 끓인다.', '4. 호박은 1cm 두께로 썰어 냄비에 담고 물과 설탕을 넣어 푹 끓인다.', '5. 호박이 푹 무르면 찹쌀가루를 물에 풀어 넣고 팥도 함께 넣어 끓인다.', '6. 다 끓으면 설탕, 소금으로 간한다.']",45
흑미영양솥밥,"['밥', '죽', '스프']",한식,메인요리,어려움,235,26355,2,"['멥쌀 1컵', '찹쌀 1/2컵', '흑미 2큰술']","['밤 2개', '대추 2개', '은행 2개', '수삼 1뿌리', '잣 약간', '식용유 약간']",,"['1. 멥쌀, 찹쌀, 흑미는 깨끗이 씻은 뒤 각각 충분히 불린다.', '2. 밤은 껍질을 벗기고 대추는 깨끗이 씻는다.', '3. 은행은 프라이팬에 식용유를 두르고 볶은 뒤 껍질을 벗긴다.', '4. 수삼은 둥근 윗부분을 자르고 칼등으로 껍질을 살살 긁어 씻는다.', '5. 돌솥이나 뚝배기(직경 16cm)에 불린 찹쌀과 멥쌀, 흑미를 넣고 밤, 대추, 수삼, 은행, 잣을 얹는다.', '6. ⑤에 물 1과 1/2컵을 붓는다.', '7. 뚜껑을 덮어 250℃로 예열한 오븐에 35분 동안 넣어둔다.']",67
